thing,ts,prop_rssi,prop_temp,prop_ojfawje,prop_waterheater,prop_hvac,prop_main,prop_office,prop_other,prop_refrigerator,loc_lat,loc_lng,loc_heading,loc_speed,loc_corrId,loc_streetNumber,loc_street,loc_city,loc_state,loc_zipCode,loc_country,attr_m2x_deviceid
homepower,1.41953853077E9,null,null,null,0.0,3.0,1124.0,253.0,499.0,8.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.419537471269E9,null,null,null,0.0,3.0,758.0,253.0,499.0,7.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.419537091275E9,null,null,null,0.0,3.0,758.0,253.0,499.0,5.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.419537411286E9,null,null,null,0.0,3.0,758.0,253.0,499.0,8.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.419538532977E9,null,null,null,0.0,3.0,1124.0,253.0,656.0,212.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.419536513277E9,null,null,null,0.0,3.0,837.0,253.0,443.0,93.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.419537211279E9,null,null,null,0.0,3.0,758.0,253.0,499.0,8.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.41953719128E9,null,null,null,0.0,3.0,758.0,253.0,499.0,7.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.41953853177E9,null,null,null,0.0,3.0,1124.0,253.0,499.0,212.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.419537511271E9,null,null,null,0.0,3.0,758.0,253.0,499.0,8.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.419537111276E9,null,null,null,0.0,3.0,758.0,253.0,499.0,7.0,null,null,null,null,null,null,null,null,null,null,null,null
